Entity,Code,Day,total_vaccinations_per_hundred,"GDP per capita, PPP (constant 2011 international $)",Year,Year,Continent
Africa,,2021-06-09,2.78,,,,
Africa,,2021-06-10,2.83,,,,
Africa,,2021-06-11,2.85,,,,
Africa,,2021-06-12,2.88,,,,
Africa,,2021-06-13,2.88,,,,
Africa,,2021-06-14,2.95,,,,
Africa,,2021-06-15,3.02,,,,
Africa,,2021-06-16,3.04,,,,
Africa,,2021-06-17,3.07,,,,
Africa,,2021-06-18,3.1,,,,
Africa,,2021-06-19,3.11,,,,
Africa,,2021-06-20,3.15,,,,
Africa,,2021-06-21,3.21,,,,
Africa,,2021-06-22,3.22,,,,
Africa,,2021-06-23,3.26,,,,
Africa,,2021-06-24,3.36,,,,
Africa,,2021-06-25,3.39,,,,
Africa,,2021-06-26,3.4,,,,
Africa,,2021-06-27,3.42,,,,
Africa,,2021-06-28,3.49,,,,
Africa,,2021-06-29,3.51,,,,
Africa,,2021-06-30,3.54,,,,
Africa,,2021-07-01,3.57,,,,
Africa,,2021-07-02,3.59,,,,
Africa,,2021-07-03,3.61,,,,
Africa,,2021-07-04,3.63,,,,
Africa,,2021-07-05,3.71,,,,
Africa,,2021-07-06,3.74,,,,
Africa,,2021-07-07,3.76,,,,
Africa,,2021-07-08,3.8,,,,
Africa,,2021-07-09,3.83,,,,
Africa,,2021-07-10,3.83,,,,
Africa,,2021-07-11,3.84,,,,
Africa,,2021-07-12,3.96,,,,
Africa,,2021-07-13,4,,,,
Africa,,2021-07-14,4.02,,,,
Africa,,2021-07-15,4.11,,,,
Africa,,2021-07-16,4.12,,,,
Africa,,2021-07-17,4.14,,,,
Africa,,2021-07-18,4.15,,,,
Africa,,2021-07-19,4.25,,,,
Africa,,2021-07-20,4.28,,,,
Africa,,2021-07-21,4.28,,,,
Africa,,2021-07-22,4.36,,,,
Africa,,2021-07-23,4.39,,,,
Africa,,2021-07-24,4.4,,,,
Africa,,2021-07-25,4.45,,,,
Africa,,2021-07-26,4.52,,,,
Africa,,2021-07-27,4.59,,,,
Africa,,2021-07-28,4.64,,,,
Africa,,2021-07-29,4.72,,,,
Africa,,2021-07-30,4.75,,,,
Africa,,2021-07-31,4.76,,,,
Africa,,2021-08-01,4.81,,,,
Africa,,2021-08-02,4.87,,,,
Africa,,2021-08-03,5.03,,,,
Africa,,2021-08-04,5.06,,,,
Africa,,2021-08-05,5.13,,,,
Africa,,2021-08-06,5.16,,,,
Africa,,2021-08-07,5.19,,,,
Africa,,2021-08-08,5.24,,,,
Africa,,2021-08-09,5.37,,,,
Africa,,2021-08-10,5.42,,,,
Africa,,2021-08-11,5.46,,,,
Africa,,2021-08-12,5.57,,,,
Africa,,2021-08-13,5.64,,,,
Africa,,2021-08-14,5.66,,,,
Africa,,2021-08-15,5.68,,,,
Africa,,2021-08-16,5.87,,,,
Africa,,2021-08-17,5.93,,,,
Africa,,2021-08-18,6.03,,,,
Africa,,2021-08-19,6.16,,,,
Africa,,2021-08-20,6.55,,,,
Africa,,2021-08-21,6.58,,,,
Africa,,2021-08-22,6.63,,,,
Africa,,2021-08-23,6.71,,,,
Africa,,2021-08-24,6.79,,,,
Africa,,2021-08-25,7.01,,,,
Africa,,2021-08-26,7.02,,,,
Africa,,2021-08-27,7.25,,,,
Africa,,2021-08-28,7.3,,,,
Africa,,2021-08-29,7.4,,,,
Africa,,2021-08-30,7.44,,,,
Africa,,2021-08-31,7.54,,,,
Africa,,2021-09-01,7.7,,,,
Africa,,2021-09-02,7.73,,,,
Africa,,2021-09-03,7.78,,,,
Africa,,2021-09-04,8.1,,,,
Africa,,2021-09-05,8.27,,,,
Africa,,2021-09-06,8.39,,,,
Africa,,2021-09-07,8.43,,,,
Africa,,2021-09-08,8.48,,,,
Africa,,2021-09-09,8.59,,,,
Africa,,2021-09-10,8.67,,,,
Africa,,2021-09-11,8.8,,,,
Africa,,2021-09-12,9.01,,,,
Africa,,2021-09-13,9.05,,,,
Africa,,2021-09-14,9.26,,,,
Africa,,2021-09-15,9.36,,,,
Africa,,2021-09-16,9.48,,,,
Africa,,2021-09-17,9.51,,,,
Africa,,2021-09-18,9.55,,,,
Africa,,2021-09-19,9.75,,,,
Africa,,2021-09-20,9.82,,,,
Africa,,2021-09-21,9.87,,,,
Africa,,2021-09-22,10.06,,,,
Africa,,2021-09-23,10.27,,,,
Africa,,2021-09-24,10.3,,,,
Africa,,2021-09-25,10.39,,,,
Africa,,2021-09-26,10.46,,,,
Africa,,2021-09-27,10.66,,,,
Africa,,2021-09-28,10.74,,,,
Africa,,2021-09-29,10.77,,,,
Africa,,2021-09-30,10.9,,,,
Africa,,2021-10-01,10.94,,,,
Africa,,2021-10-02,11.02,,,,
Africa,,2021-10-03,11.06,,,,
Africa,,2021-10-04,11.07,,,,
Africa,,2021-10-05,11.11,,,,
Africa,,2021-10-06,11.16,,,,
Africa,,2021-10-07,11.3,,,,
Africa,,2021-10-08,11.64,,,,
Africa,,2021-10-09,11.74,,,,
Africa,,2021-10-10,11.76,,,,
Africa,,2021-10-11,11.8,,,,
Africa,,2021-10-12,11.82,,,,
Africa,,2021-10-13,12,,,,
Africa,,2021-10-14,12.15,,,,
Africa,,2021-10-15,12.25,,,,
Africa,,2021-10-16,12.26,,,,
Africa,,2021-10-17,12.58,,,,
Africa,,2021-10-18,12.69,,,,
Africa,,2021-10-19,12.77,,,,
Africa,,2021-10-20,12.84,,,,
Africa,,2021-10-21,13,,,,
Africa,,2021-10-22,13.04,,,,
Africa,,2021-10-23,13.27,,,,
Africa,,2021-10-24,13.45,,,,
Africa,,2021-10-25,13.48,,,,
Africa,,2021-10-26,13.6,,,,
Africa,,2021-10-27,13.63,,,,
Africa,,2021-10-28,13.82,,,,
Africa,,2021-10-29,14.07,,,,
Africa,,2021-10-30,14.15,,,,
Africa,,2021-10-31,14.31,,,,
Africa,,2021-11-01,14.4,,,,
Africa,,2021-11-02,14.5,,,,
Africa,,2021-11-03,14.54,,,,
Africa,,2021-11-04,14.73,,,,
Africa,,2021-11-05,14.75,,,,
Africa,,2021-11-06,14.9,,,,
Africa,,2021-11-07,14.96,,,,
Africa,,2021-11-08,15,,,,
Africa,,2021-11-09,15.03,,,,
Africa,,2021-11-10,15.45,,,,
Africa,,2021-11-11,15.54,,,,
Africa,,2021-11-12,15.57,,,,
Africa,,2021-11-13,15.69,,,,
Africa,,2021-11-14,15.76,,,,
Africa,,2021-11-15,15.85,,,,
Africa,,2021-11-16,15.87,,,,
Africa,,2021-11-17,15.92,,,,
Africa,,2021-11-18,16.14,,,,
Africa,,2021-11-19,16.16,,,,
Africa,,2021-11-20,16.34,,,,
Africa,,2021-11-21,16.47,,,,
Africa,,2021-11-22,16.58,,,,
Africa,,2021-11-23,16.65,,,,
Africa,,2021-11-24,16.85,,,,
Africa,,2021-11-25,16.92,,,,
Africa,,2021-11-26,17.01,,,,
Africa,,2021-11-27,17.05,,,,
Africa,,2021-11-28,17.32,,,,
Africa,,2021-11-29,17.47,,,,
Africa,,2021-11-30,17.56,,,,
Africa,,2021-12-01,17.6,,,,
Africa,,2021-12-02,17.78,,,,
Africa,,2021-12-03,17.9,,,,
Africa,,2021-12-04,18.12,,,,
Africa,,2021-12-05,18.19,,,,
Africa,,2021-12-06,18.34,,,,
Africa,,2021-12-07,18.38,,,,
Africa,,2021-12-08,18.55,,,,
Africa,,2021-12-09,18.9,,,,
Africa,,2021-12-10,18.95,,,,
Africa,,2021-12-11,19.14,,,,
Africa,,2021-12-12,19.25,,,,
Africa,,2021-12-13,19.32,,,,
Africa,,2021-12-14,19.49,,,,
Africa,,2021-12-15,19.67,,,,
Africa,,2021-12-16,19.72,,,,
Africa,,2021-12-17,19.75,,,,
Africa,,2021-12-18,19.91,,,,
Africa,,2021-12-19,19.95,,,,
Africa,,2021-12-20,20.35,,,,
Africa,,2021-12-21,20.39,,,,
Africa,,2021-12-22,20.51,,,,
Africa,,2021-12-23,20.84,,,,
Africa,,2021-12-24,21.02,,,,
Africa,,2021-12-25,21.03,,,,
Africa,,2021-12-26,21.15,,,,
Africa,,2021-12-27,21.23,,,,
Africa,,2021-12-28,21.73,,,,
Africa,,2021-12-29,21.77,,,,
Africa,,2021-12-30,21.86,,,,
Africa,,2021-12-31,22.1,,,,
Africa,,2022-01-01,22.14,,,,
Africa,,2022-01-02,22.18,,,,
Africa,,2022-01-03,22.21,,,,
Africa,,2022-01-04,22.6,,,,
Africa,,2022-01-05,22.64,,,,
Africa,,2022-01-06,22.93,,,,
Africa,,2022-01-07,22.98,,,,
Africa,,2022-01-08,23.11,,,,
Africa,,2022-01-09,23.25,,,,
Africa,,2022-01-10,23.5,,,,
Africa,,2022-01-11,23.52,,,,
Africa,,2022-01-12,23.59,,,,
Africa,,2022-01-13,23.7,,,,
Africa,,2022-01-14,23.79,,,,
Africa,,2022-01-15,23.98,,,,
Africa,,2022-01-16,24.05,,,,
Africa,,2022-01-17,24.23,,,,
Africa,,2022-01-18,24.36,,,,
Africa,,2022-01-19,24.52,,,,
Africa,,2022-01-20,24.55,,,,
Africa,,2022-01-21,24.98,,,,
Africa,,2022-01-22,25.07,,,,
Africa,,2022-01-23,25.21,,,,
Africa,,2022-01-24,25.31,,,,
Africa,,2022-01-25,25.33,,,,
Africa,,2022-01-26,25.4,,,,
Africa,,2022-01-27,25.47,,,,
Africa,,2022-01-28,25.58,,,,
Africa,,2022-01-29,25.67,,,,
Africa,,2022-01-30,25.8,,,,
Africa,,2022-01-31,25.86,,,,
Africa,,2022-02-01,25.89,,,,
Africa,,2022-02-02,26.05,,,,
Africa,,2022-02-03,26.08,,,,
Africa,,2022-02-04,26.12,,,,
Africa,,2022-02-05,26.16,,,,
Africa,,2022-02-06,26.37,,,,
Africa,,2022-02-07,26.54,,,,
Africa,,2022-02-08,26.59,,,,
Africa,,2022-02-09,26.72,,,,
Africa,,2022-02-10,26.9,,,,
Africa,,2022-02-11,27,,,,
Africa,,2022-02-12,27.03,,,,
Africa,,2022-02-13,27.08,,,,
Africa,,2022-02-14,27.1,,,,
Africa,,2022-02-15,27.23,,,,
Africa,,2022-02-16,27.36,,,,
Africa,,2022-02-17,27.46,,,,
Africa,,2022-02-18,27.59,,,,
Africa,,2022-02-19,27.9,,,,
Africa,,2022-02-20,28.19,,,,
Africa,,2022-02-21,28.77,,,,
Africa,,2022-02-22,29.01,,,,
Africa,,2022-02-23,29.11,,,,
Africa,,2022-02-24,29.45,,,,
Africa,,2022-02-25,29.55,,,,
Africa,,2022-02-26,29.74,,,,
Africa,,2022-02-27,29.91,,,,
Africa,,2022-02-28,29.98,,,,
Africa,,2022-03-01,30.06,,,,
Africa,,2022-03-02,30.14,,,,
Africa,,2022-03-03,30.17,,,,
Africa,,2022-03-04,30.26,,,,
Africa,,2022-03-05,30.59,,,,
Africa,,2022-03-06,30.7,,,,
Africa,,2022-03-07,30.74,,,,
Africa,,2022-03-08,30.85,,,,
Africa,,2022-03-09,30.97,,,,
Africa,,2022-03-10,30.99,,,,
Africa,,2022-03-11,31.08,,,,
Africa,,2022-03-12,31.08,,,,
Africa,,2022-03-13,31.3,,,,
Africa,,2022-03-14,31.34,,,,
Africa,,2022-03-15,31.65,,,,
Africa,,2022-03-16,31.69,,,,
Africa,,2022-03-17,31.77,,,,
Africa,,2022-03-18,32.08,,,,
Africa,,2022-03-19,32.09,,,,
Africa,,2022-03-20,32.22,,,,
Africa,,2022-03-21,32.33,,,,
Africa,,2022-03-22,32.34,,,,
Africa,,2022-03-23,32.37,,,,
Africa,,2022-03-24,32.4,,,,
Africa,,2022-03-25,32.46,,,,
Africa,,2022-03-26,32.47,,,,
Africa,,2022-03-27,32.73,,,,
Africa,,2022-03-28,32.74,,,,
Africa,,2022-03-29,32.92,,,,
Africa,,2022-03-30,32.94,,,,
Africa,,2022-03-31,33.54,,,,
Africa,,2022-04-01,33.64,,,,
Africa,,2022-04-02,33.65,,,,
Africa,,2022-04-03,33.67,,,,
Africa,,2022-04-04,33.71,,,,
Africa,,2022-04-05,33.71,,,,
Africa,,2022-04-06,33.74,,,,
Africa,,2022-04-07,33.96,,,,
Africa,,2022-04-08,33.98,,,,
Africa,,2022-04-09,34.04,,,,
Africa,,2022-04-10,34.3,,,,
Africa,,2022-04-11,34.31,,,,
